offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
169.0 to 169.66666669999998,"[5, 7, 9]","['A5', 'F5', 'G5']","[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
170.0 to 170.66666669999998,"[0, 2, 4]","['C5', 'D5', 'E5']","[1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
171.0 to 171.875,"[0, 4, 7]","['C5', 'E4', 'G3', 'G4']","[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]"
172.0 to 172.875,"[2, 5, 7, 11]","['B4', 'D4', 'F3', 'F4', 'G3', 'G4']","[0, 0, 1, 0, 0, 2, 0, 2, 0, 0, 0, 1]"
173.0 to 173.5,"[2, 4]","['D3', 'D4', 'E3', 'E4']","[0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
174.0 to 174.0,"[0, 4]","['C3', 'C5', 'E4']","[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
176.0 to 176.875,"[2, 4, 5, 7]","['D5', 'E5', 'F5', 'G3', 'G4']","[0, 0, 1, 0, 1, 1, 0, 2, 0, 0, 0, 0]"
177.0 to 177.875,"[0, 4, 5]","['C3', 'C4', 'E5', 'F5']","[2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
178.0 to 178.5,"[7, 9]","['A5', 'G5']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
179.0 to 179.0,[7],['G5'],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
180.0 to 180.0,[0],"['C5', 'C6']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
